!!SBtab	SBtabVersion='0.9.1' TableID='Reaction' TableType='Reaction' TableName='transformed standard Gibbs free energies of reaction, dG0_prime' QuantityType='standard Gibbs free energy of reaction' Unit='kJ/mol' pH='7.0' Temperature='298.15' TemperatureUnit='kelvin' 'IonicStrength='0.1' IoniStrengthUnit='mM' UniqueKeys='False'			
!Identifiers:kegg.reaction	!Mean	   !Std	!Comment
R00986	-75.4	13.8	
R00987	-54.0	12.3	
R00988	-32.0	13.0	
R00989	-19.0	10.3	
R00990	-11.1	12.9	
R00991	-144.8	12.8	
R00993	-236.4	11.1	
R00994	3.2	9.3	
R00995	23.8	9.5	
R00996	-24.8	8.2	
R00997	31.1	16.7	
R00998	20.2	7.6	
R00999	-58.0	9.2	
R01000	19.1	3.4	
R01001	2.2	12.0	
R01003	-13.8	42.1	
R01004	-26.8	42.9	
R01005			uncertainty is too high
R01006			uncertainty is too high
R01007	4.5	44.7	
R01008			uncertainty is too high
R01009			uncertainty is too high
R01010	-12.7	4.3	
R01011	-13.7	4.3	
R01012	-41.4	4.4	
R01013			uncertainty is too high
R01014	19.4	5.8	
R01015	-5.5	1.1	
R01016	-56.5	3.8	
R01018	-12.1	41.5	
R01019	-106.0	44.8	
R01021	-18.0	1.0	
R01022	-114.3	8.5	
R01023	-9.6	2.0	
R01025			uncertainty is too high
R01026	-20.4	2.1	
R01027			uncertainty is too high
R01028			uncertainty is too high
R01029			uncertainty is too high
R01030			uncertainty is too high
R01031			uncertainty is too high
R01032			uncertainty is too high
R01033			uncertainty is too high
R01034	24.6	3.6	
R01036	39.6	4.0	
R01039	25.6	3.6	
R01041	40.6	4.0	
R01043	-23.4	4.7	
R01044	2.7	4.6	
R01045			uncertainty is too high
R01047	-35.1	4.2	
R01048	-37.2	4.2	
R01049	0.3	2.9	
R01050	-11.3	4.6	
R01051	-25.0	3.4	
R01052	-1.7	7.3	
R01053	-34.9	4.5	
R01054	-22.2	7.3	
R01055	-37.1	5.1	
R01056	1.9	1.5	
R01057	-11.7	3.0	
R01058	-36.1	1.1	
R01059	-23.3	2.8	
R01061	7.8	0.8	
R01063	8.8	1.0	
R01064	13.1	5.8	
R01066	20.2	3.0	
R01067	10.0	3.8	
R01068	19.8	1.0	
R01069	17.9	4.4	
R01070	17.9	4.4	
R01071			uncertainty is too high
R01072	54.7	5.1	
R01073	54.6	11.5	
R01074			uncertainty is too high
R01075			uncertainty is too high
R01076			uncertainty is too high
R01077			uncertainty is too high
R01078			uncertainty is too high
R01079	-46.3	4.2	
R01080	-12.6	4.3	
R01081	2.7	1.7	
R01082	3.5	0.6	
R01083	10.1	2.7	
R01085	-47.1	6.8	
R01086	12.5	5.8	
R01087	-6.2	6.3	
R01088	36.8	3.1	
R01089	-14.9	6.8	
R01090	-1.2	3.1	
R01091	7.0	5.7	
R01092	-10.9	3.8	
R01093	-19.3	4.8	
R01094	-14.7	2.7	
R01095	-20.3	4.9	
R01096	-16.8	4.8	
R01097	-13.8	2.7	
R01098	-167.0	9.3	
R01099	-116.6	9.0	
R01100	-10.9	2.1	
R01101	-10.7	3.4	
R01103	1.1	8.5	
R01104	-3.3	5.9	
R01105	-265.2	2.9	
R01106			uncertainty is too high
R01108			uncertainty is too high
R01109	-1.4	18.1	
R01110	-1.4	18.2	
R01111	0.6	5.8	
R01113	22.2	13.1	
R01115			uncertainty is too high
R01117			uncertainty is too high
R01119			uncertainty is too high
R01120			uncertainty is too high
R01121	-33.3	7.9	
R01122			uncertainty is too high
R01123	-4.9	5.8	
R01126	-5.6	3.7	
R01127	18.3	10.7	
R01128	-8.1	3.8	
R01130	21.4	7.7	
R01131	-20.8	3.7	
R01132	26.7	3.1	
R01134			uncertainty is too high
